[2022-09-29 21:03:24 +0000] [1] [INFO] Starting gunicorn 20.1.0
[2022-09-29 21:03:24 +0000] [1] [INFO] Listening at: http://0.0.0.0:8000 (1)
[2022-09-29 21:03:24 +0000] [1] [INFO] Using worker: sync
[2022-09-29 21:03:24 +0000] [7] [INFO] Booting worker with pid: 7
[2022-09-29 21:03:25 +0000] [8] [INFO] Booting worker with pid: 8
2022-09-29 21:03:51,245 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:51,275 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:51,307 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:51,668 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:51,698 | INFO | 8 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:51,730 | INFO | 8 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:51,765 | INFO | 8 | views.py:index:7 | hello
2022-09-29 21:03:51,801 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:51,831 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:51,860 | INFO | 8 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:51,888 | INFO | 8 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:51,918 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:51,944 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:51,973 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:52,075 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:52,106 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:52,137 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:52,168 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:52,200 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:52,235 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:52,272 | INFO | 7 | views.py:index:7 | hello
2022-09-29 21:03:52,309 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:52,343 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:52,375 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:52,407 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:52,949 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:52,983 | INFO | 8 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:53,012 | INFO | 8 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:53,046 | INFO | 8 | views.py:index:7 | hello
2022-09-29 21:03:53,078 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:53,106 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:53,139 | INFO | 8 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:53,170 | INFO | 8 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:53,208 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:53,243 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:53,275 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:53,634 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:53,722 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:53,786 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:53,816 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:53,850 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:53,884 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:53,923 | INFO | 7 | views.py:index:7 | hello
2022-09-29 21:03:53,954 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:53,988 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:54,022 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:54,054 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:54,089 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:54,257 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:54,265 | INFO | 7 | views.py:index:9 | dummy log message 5
